,precision,recall,f1-score,support
dyed-lifted-polyps,0.7962962962962963,0.86,0.8269230769230769,100.0
dyed-resection-margins,0.891566265060241,0.74,0.8087431693989071,100.0
esophagitis,0.7777777777777778,0.63,0.6961325966850829,100.0
normal-cecum,0.7983193277310925,0.95,0.867579908675799,100.0
normal-pylorus,0.8521739130434782,0.98,0.9116279069767442,100.0
normal-z-line,0.6972477064220184,0.76,0.7272727272727273,100.0
polyps,0.803921568627451,0.82,0.8118811881188119,100.0
ulcerative-colitis,0.9036144578313253,0.75,0.819672131147541,100.0
accuracy,0.81125,0.81125,0.81125,0.81125
macro avg,0.8151146640987101,0.81125,0.8087290881498362,800.0
weighted avg,0.81511466409871,0.81125,0.8087290881498364,800.0
