,precision,recall,f1-score,support
dyed-lifted-polyps,0.6639344262295082,0.81,0.7297297297297297,100.0
dyed-resection-margins,0.7586206896551724,0.66,0.7058823529411765,100.0
esophagitis,0.7252747252747253,0.66,0.6910994764397905,100.0
normal-cecum,0.7175572519083969,0.94,0.8138528138528138,100.0
normal-pylorus,0.9529411764705882,0.81,0.8756756756756757,100.0
normal-z-line,0.6694214876033058,0.81,0.7330316742081447,100.0
polyps,0.7894736842105263,0.6,0.6818181818181818,100.0
ulcerative-colitis,0.8505747126436781,0.74,0.7914438502673797,100.0
accuracy,0.75375,0.75375,0.75375,0.75375
macro avg,0.7659747692494876,0.75375,0.7528167193666115,800.0
weighted avg,0.7659747692494876,0.75375,0.7528167193666115,800.0
