,precision,recall,f1-score,support
dyed-lifted-polyps,0.8936170212765957,0.84,0.865979381443299,100.0
dyed-resection-margins,0.8640776699029126,0.89,0.8768472906403941,100.0
esophagitis,0.7790697674418605,0.67,0.7204301075268817,100.0
normal-cecum,0.897196261682243,0.96,0.927536231884058,100.0
normal-pylorus,0.9801980198019802,0.99,0.9850746268656716,100.0
normal-z-line,0.7192982456140351,0.82,0.7663551401869159,100.0
polyps,0.9191919191919192,0.91,0.914572864321608,100.0
ulcerative-colitis,0.9479166666666666,0.91,0.9285714285714286,100.0
accuracy,0.87375,0.87375,0.87375,0.87375
macro avg,0.8750706964472765,0.87375,0.8731708839300321,800.0
weighted avg,0.8750706964472766,0.87375,0.8731708839300322,800.0
