,precision,recall,f1-score,support
dyed-lifted-polyps,0.6982758620689655,0.81,0.75,100.0
dyed-resection-margins,0.8533333333333334,0.64,0.7314285714285714,100.0
esophagitis,0.7209302325581395,0.62,0.6666666666666666,100.0
normal-cecum,0.7851239669421488,0.95,0.8597285067873304,100.0
normal-pylorus,0.9259259259259259,1.0,0.9615384615384616,100.0
normal-z-line,0.6846846846846847,0.76,0.7203791469194313,100.0
polyps,0.6896551724137931,0.8,0.7407407407407407,100.0
ulcerative-colitis,0.9850746268656716,0.66,0.7904191616766467,100.0
accuracy,0.78,0.78,0.78,0.78
macro avg,0.7928754755990828,0.78,0.777612656969731,800.0
weighted avg,0.7928754755990829,0.78,0.7776126569697311,800.0
